goal	date	fixture_set	cer	wer	schema_valid	hit1	hit5	mrr	docs_min	notes
I1	2026-07-05	embed_ab_16doc_10q	-	-	-	1.00	1.00	1.000	-	all 6 configs saturate hit@1; canonical margins: egemma-prompted +0.350 (37ms/doc) > nomic-prefixed +0.172 (28ms/doc) > qwen3-mean-instr +0.131 (122ms/doc, F16 pooling-last fork crash forces mean); SHIPPED embeddinggemma-300m to embed.service; I1b harder fixture queued
I2	2026-07-05	ocr_fixtures_5	0.0000	-	-	-	-	-	33	PP-OCRv6 medium det+rec ONNX via rapidocr custom paths + extracted 18708-char dict; CER 0.0000 all 5 fixtures AFTER line-reconstruction fix (F18: det-order scrambles multi-column rows; group by y-overlap, sort by x); 0.55 pages/sec (1820ms/A4@200dpi) host CPU; separators (no alnum) legitimately undetected; deliverables ocr.py+make_fixtures.py+fixtures/
I3	2026-07-05	vprobe_4cond_2hastext	0.0019	-	-	-	-	-	-	GATE GREEN: prod Gemma-4 vision reads docs — CER 0.0000 clean/receipt/top6, 0.0076 full A4 (mean 0.0019); has_text 2/2; ~266-308 img tokens REGARDLESS of resolution (fixed vision budget); F19 symmetric separator filtering (receipt 0.6154 was metric artifact, transcript perfect); F20 sole error is prior-substitution Gemma4->gpt-4a => OCR authoritative for verbatim, VLM for semantics (I4 design)
I13	2026-07-05	embed_ab_hard_48doc_29q	-	-	-	0.93	1.00	0.966	-	F16 FIXED (patches/0019: qwen3 no out_ids when pooled — fork LAST-exemption vs absolute inp_cls rows); canonical qwen3-last SHIPPED to embed.service via SEPARATE /opt/embed-engine.llamafile (prod binary untouched); hard A/B: qwen3 hit@1 0.93/0.90 MRR 0.966 BEATS egemma 0.83/0.914; cost 117 vs 31 ms/doc CPU (not the bottleneck); egemma+nomic ggufs kept as fallback
I4	2026-07-05	enrich_6case	-	-	1.00	-	-	-	~20	ingest.v1 enrichment SHIPPED (bench/ingest/enrich.py): ONE grammar-JSON call (json_object+schema->GBNF), enable_thinking=false, OCR-authoritative framing (F20), fixed prefix cached (H10, 246-408 tok); 6/6 schema-valid FIRST TRY + 6/6 expectations after F21 fix (enum values must be IN prompt — mask alone gave med/law on perfect summaries); injection probe RESISTED (title!=PWNED, instruction_like_text flaggable); 1.4-3.0s/doc
I5	2026-07-05	router_9fixture+chain1	-	-	1.00	-	-	-	~10	router.py 9/9 (pdf text/scan/mixed per-page probe, csv, code, text, EXIF camera+datetime+GPS via piexif, RAW magic, wav duration); chain_smoke.py FULL PIPELINE PASS on pdf_mixed: route 86ms + OCR 1830ms + enrich 3022ms + embed 856ms = 5.79s (~10 docs/min 1-thread); enrichment chunking_hints sensible (Header/LineItems/Totals); people[] still untested (needs real photos — Sebastian to provide, local-only never committed)
I14	2026-07-05	real_flickr14+funsd8+libri10+esc12	-	0.030	1.00	0.857	-	0.917	-	REAL-DATA benchmarks (public subsets, media local-only): people[] 14/14 detected + caption overlap 14/14 + PHASE-PREMISE retrieval hit@1 0.857/MRR 0.917 (caption->enrichment-text via qwen3); FUNSD real-scan word-F1 0.925; LibriSpeech STT WER 0.030 (native audio, I8 largely proven); ESC-50 sounds 0.083 raw AND 16k-resampled with speech control PASS => F22 audio encoder SPEECH-ONLY, sound-tagging sidecar = new I15 (optional); embed-research-program.md WRITTEN (EM1-EM7, ship-gates)
I6	2026-07-05	chunker_4doc_86chunk	-	-	-	-	-	-	-	chunker.py SHIPPED: hint-guided packing (target 512/max 1024/min 128, exact Qwen3 /tokenize per-unit ONCE, summed joins); 0 mid-sentence cuts/86 chunks; oob=1 (leading hint-runt, allowed); self-retrieval 3/3 on live sidecar; F23 silent tokenizer-fallback undercounts defeated HARD_MAX (fix: tokenize units once + one-time WARN); embed.service -c 2048->4096 (1024/slot rejected 1024-tok chunks HTTP 400); chain_smoke envelope now chunks[]+doc vector (+15ms, total 6.6s)
P1	2026-07-05	worker_batch22_mixed	-	-	-	-	-	-	18.77	ingest_worker.py (I7 core): route->OCR/STT->enrich->chunk->embed->sha256-idempotent envelope; stage semaphores ocr2/enrich2/embed2; 22-file real-mix (pdfs,csv,code,jpg+exif,flickr,funsd,wav): serial 11.73 -> pipeline 18.77 docs/min (1.60x), 0 fail; enrich busy 130.6s/2 slots ~= wall 70.3s => GPU ~93% utilized, enrichment = bottleneck (P2 next); audio path exercised (tone.wav STT+envelope ok)
P2	2026-07-06	worker_batch22+i4battery	-	-	1.00	-	-	-	17.58	SHIP v1+DRY: F24 greedy+grammar loops inside unbounded JSON strings (GBNF ignores maxLength) — DRY fixes battery runaway, costs 6% (18.77->17.58); LEAN schema REJECTED: per-call faster (294 vs 373 tok, same 114 tok/s) BUT novel-token runaway on FUNSD scan (43.5s, enrich_ok=false, slot stall -> 12.86); I4 battery 6/6 both v1+DRY and lean+DRY; gate-tick 1/2 (no throughput gain)
